dataset,dataset_label,family,model,model_key,experiment,status,source_file,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,precision_weighted,recall_weighted,far,roc_auc,pr_auc,min_class_recall,train_seconds,checkpoint,sample_fraction,has_confusion_matrix,notes
cicids2017,CICIDS2017,DL,BiLSTM Attention,BiLSTMAttention_Modular,BiLSTMAttention_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_BiLSTMAttention_Modular_results.json,0.9611693787378115,0.7247531174864918,0.967079427728705,0.6680480710676066,0.9910917434002076,0.9769635782537929,0.9611693787378115,0.046451560588318064,0.9993773804596056,0.8661823119755339,0.9535484394116819,4101.881011247635,artifacts/cicids2017/multi/BiLSTMAttention_Modular.pt,1.0,True,
cicids2017,CICIDS2017,DL,CNN-LSTM Hybrid,CNNLSTMHybrid_Modular,CNNLSTMHybrid_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_CNNLSTMHybrid_Modular_results.json,0.9551155364112648,0.5895457030993334,0.9655015525218976,0.53401902313973,0.8621532788202617,0.9800620581611121,0.9551155364112648,0.053518150618773803,0.9989504788367284,0.8309244729952354,0.0,1121.539900302887,artifacts/cicids2017/multi/CNNLSTMHybrid_Modular.pt,1.0,True,
cicids2017,CICIDS2017,DL,CNN1D,CNN1D_Modular,CNN1D_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_CNN1D_Modular_results.json,0.9608482515417078,0.688094333557236,0.9689560604761875,0.6182752311590675,0.9743594310974244,0.9807900504025726,0.9608482515417078,0.046661435688783844,0.9986014792149255,0.8381039662490132,0.8571428571428571,654.3797240257263,artifacts/cicids2017/multi/CNN1D_Modular.pt,1.0,True,
cicids2017,CICIDS2017,DL,MLP,MLP_Modular,MLP_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_MLP_Modular_results.json,0.9685731446479792,0.7105065429124462,0.9763237514622451,0.6658265459395123,0.9760000232700856,0.986544286711848,0.9685731446479792,0.03757718276066845,0.9993500928870365,0.8386082929449739,0.8571428571428571,709.4753530025482,artifacts/cicids2017/multi/MLP_Modular.pt,1.0,True,
cicids2017,CICIDS2017,ML,LightGBM,LightGBM,LightGBM,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_ml_baselines.json,0.37308042253995755,0.27960917923858514,0.4971712369395391,0.3339685270544083,0.6618262954722953,0.8805739091958048,0.37308042253995755,0.6731529202450769,0.7909465334344558,0.23960520134750926,0.3249619185251728,621.91401720047,,,True,
cicids2017,CICIDS2017,ML,Logistic Regression,LogisticRegression,LogisticRegression,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_ml_baselines.json,0.8596614685027741,0.5460001874764883,0.906127919667244,0.4902105079139477,0.973195619123755,0.9700453314369389,0.8596614685027741,0.16735869801119493,0.9970194793944872,0.6874076465715184,0.832641301988805,876.0025522708893,,,True,
cicids2017,CICIDS2017,ML,Random Forest,RandomForest,RandomForest,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_ml_baselines.json,0.9985509630842483,0.9761685944030499,0.9985417194866618,0.9832252295597637,0.9699277165703418,0.9985382980435257,0.9985509630842483,0.0006987886867781071,0.9996560801447294,0.9907842247195158,0.7647058823529411,1703.9752283096313,,,True,
cicids2017,CICIDS2017,ML,XGBoost,XGBoost,XGBoost,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\cicids2017_multi_ml_baselines.json,0.9988760548136372,0.8921342025792034,0.9988731514763438,0.8721063769287585,0.9217000728100704,0.9988751111806126,0.9988760548136372,0.0009253583975082102,0.983098873085732,0.9143989580808634,0.5714285714285714,797.2951889038086,,,True,
nsl_kdd,NSL-KDD,DL,BiLSTM Attention,BiLSTMAttention_Modular,BiLSTMAttention_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\nsl_kdd_multi_BiLSTMAttention_Modular_results.json,0.9647549116888271,0.7205916329944526,0.9687537905608025,0.6718914284426127,0.915341228121199,0.9760990639716142,0.9647549116888271,0.058133491721731385,0.9962669394556782,0.8561742069479097,0.7,105.52981495857239,artifacts/nsl_kdd/multi/BiLSTMAttention_Modular.pt,1.0,True,
nsl_kdd,NSL-KDD,DL,CNN-LSTM Hybrid,CNNLSTMHybrid_Modular,CNNLSTMHybrid_Modular,evaluated,G:\My Drive\nids_deep_learning\ids_deep_learning\results\nsl_kdd_multi_CNNLSTMHybrid_Modular_results.json,0.981543957134352,0.758530827754486,0.9834127010036625,0.7260626214309249,0.9046167975248668,0.9861603482274633,0.981543957134352,0.01915509688915287,0.998695235434597,0.8545022030039714,0.7,35.69481182098389,artifacts/nsl_kdd/multi/CNNLSTMHybrid_Modular.pt,1.0,True,
