dataset,dataset_label,family,model,class_id,class_label,precision,recall,f1_score,support
cicids2017,CICIDS2017,DL,BiLSTM Attention,0,Benign,0.9999074669194237,0.9535484394116819,0.9761778615498429,419297.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,1,Botnet,0.07696850393700787,1.0,0.1429354779747761,391.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,2,BruteForce,0.9683060109289617,0.9683060109289617,0.9683060109289617,1830.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,3,DDoS,0.9213851193261582,0.9997656524626021,0.9589764723512663,25603.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,4,DoS,0.8946213206413751,0.9992516129032258,0.9440462258630778,38750.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,5,Infiltration,0.20588235294117646,1.0,0.34146341463414637,7.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,6,PortScan,0.740098707019619,0.9989539748953975,0.8502612403645651,18164.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,7,Rare_Attack,1.0,1.0,1.0,2.0
cicids2017,CICIDS2017,DL,BiLSTM Attention,8,WebAttack,0.20526315789473684,1.0,0.3406113537117904,429.0
cicids2017,CICIDS2017,DL,CNN-LSTM Hybrid,0,Benign,0.9999193729229079,0.9464818493812261,0.9724670602044142,419297.0
cicids2017,CICIDS2017,DL,CNN-LSTM Hybrid,1,Botnet,0.04064026608460659,1.0,0.07810627247303237,391.0
cicids2017,CICIDS2017,DL,CNN-LSTM Hybrid,2,BruteForce,0.8148812191842223,0.9934426229508196,0.8953459738980547,1830.0
cicids2017,CICIDS2017,DL,CNN-LSTM Hybrid,3,DDoS,0.9314799315890979,0.9998047103855017,0.9644337276768895,25603.0
cicids2017,CICIDS2017,DL,CNN-LSTM Hybrid,4,DoS,0.9400618621983,0.9960774193548387,0.9672593316543246,38750.0
